,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
810,"['[CLS] como [SEP]', array([   4., 1184.,    5.]), 1.0609346734469227e-09]","['[CLS] mi [SEP]', array([   4., 1153.,    5.]), 4.933684016883433e-09]","['[CLS] ser [SEP]', array([   4., 1200.,    5.]), 6.981947575646075e-09]","['[CLS] más [SEP]', array([   4., 1216.,    5.]), 1.7742881053273152e-08]","['[CLS] ha [SEP]', array([   4., 1131.,    5.]), 2.1498221647320293e-08]","['[CLS] me [SEP]', array([   4., 1129.,    5.]), 2.3628052514546027e-08]","['[CLS] le [SEP]', array([   4., 1232.,    5.]), 3.2963065721425266e-08]","['[CLS] te [SEP]', array([   4., 1240.,    5.]), 4.2134483790867705e-08]","['[CLS] lo [SEP]', array([   4., 1114.,    5.]), 4.314421075957142e-08]","['[CLS] si [SEP]', array([   4., 1112.,    5.]), 4.623428695449405e-08]",ex
811,"['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.8228241138729118e-10]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.8587908989786683e-10]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.9820023400285436e-10]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 6.506749405943424e-08]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 7.501500287609986e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 8.024586162225233e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 8.095787529249776e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 8.539738760582338e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 9.112105692210548e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.308424028012567e-07]",policías
812,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 1.4297207084901231e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 1.6630492205571556e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.966708429446129e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.9791985161887737e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 2.8163195220365367e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.6760921561775888e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.9258819017320405e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.9940337481205717e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.081005402443381e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 2.662964325716999e-07]",seguramente
813,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 1.024789841874707e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 1.2236837543255774e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 2.514711128220881e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 2.5288319660532466e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 3.465478648490006e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.829615671189444e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.0902062458638682e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.1611813239008626e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.2516866637900534e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 2.855600621520793e-07]",integrar
814,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 7.659150536021286e-09]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 9.39056143955952e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 2.968513213019719e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 2.9838536530490956e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 3.994933273077095e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.948828699527283e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.2174969604993322e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.290583471786789e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.3837315699104522e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.004065188827454e-07]",filas
815,"['[CLS] veces [SEP]', array([   4., 2397.,    5.]), 6.215028491851626e-13]","['[CLS] haciendo [SEP]', array([   4., 2391.,    5.]), 1.561539786365529e-11]","['[CLS] quieres [SEP]', array([   4., 2368.,    5.]), 4.992598556796679e-10]","['[CLS] nuestra [SEP]', array([   4., 2367.,    5.]), 5.360106802854148e-10]","['[CLS] dice [SEP]', array([   4., 2429.,    5.]), 6.590933354644335e-10]","['[CLS] vas [SEP]', array([   4., 2432.,    5.]), 7.82441667013245e-10]","['[CLS] mas [SEP]', array([   4., 2437.,    5.]), 1.0107199521769417e-09]","['[CLS] unos [SEP]', array([   4., 2438.,    5.]), 1.0597546173940486e-09]","['[CLS] tenía [SEP]', array([   4., 2345.,    5.]), 1.6889957210608486e-09]","['[CLS] quiere [SEP]', array([   4., 2453.,    5.]), 1.9280965712908937e-09]",CO.
816,"['[CLS] vaya [SEP]', array([4.000e+00, 4.875e+03, 5.000e+00]), 3.692902650342944e-10]","['[CLS] eh [SEP]', array([4.000e+00, 4.824e+03, 5.000e+00]), 8.430812714621538e-10]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 2.3618321742802095e-09]","['[CLS] debo [SEP]', array([4.000e+00, 4.667e+03, 5.000e+00]), 3.6735648967223256e-09]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 3.6849934215155145e-09]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.7237209982166064e-09]","['[CLS] mira [SEP]', array([4.000e+00, 4.601e+03, 5.000e+00]), 5.554190329881692e-09]","['[CLS] cuidado [SEP]', array([4.000e+00, 4.499e+03, 5.000e+00]), 9.377380205677355e-09]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.461224008458828e-08]","['[CLS] cariño [SEP]', array([4.00e+00, 4.38e+03, 5.00e+00]), 1.5420433374657705e-08]",Vaya
817,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 6.214486703015609e-10]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 1.1776708497279742e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 5.516929013626992e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 5.537834835145361e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 6.888577219754666e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.5405944337197894e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.8461239232058233e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.928845607153008e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.034053516204338e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.729315606326722e-07]",circo
818,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 1.2357657119821397e-09]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 1.9839715426073212e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 9.263020339655981e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 9.290103619719048e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.1017862522333388e-07]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 3.289180321441876e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.6356247767876937e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.7290412457924305e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.8476352193228536e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.626065891466524e-07]",armaron!!
819,"['[CLS] fue [SEP]', array([   4., 1341.,    5.]), 5.730693697358902e-11]","['[CLS] mis [SEP]', array([   4., 1354.,    5.]), 1.598912113820461e-09]","['[CLS] pero [SEP]', array([   4., 1355.,    5.]), 1.802358817748484e-09]","['[CLS] esta [SEP]', array([   4., 1359.,    5.]), 2.7341461317220705e-09]","['[CLS] i [SEP]', array([   4., 1316.,    5.]), 3.2000370131513023e-09]","['[CLS] este [SEP]', array([   4., 1365.,    5.]), 4.480065429746105e-09]","['[CLS] ve [SEP]', array([   4., 1312.,    5.]), 4.496767069817054e-09]","['[CLS] bien [SEP]', array([   4., 1311.,    5.]), 4.856724467039442e-09]","['[CLS] ni [SEP]', array([   4., 1382.,    5.]), 1.1606776872952196e-08]","['[CLS] qué [SEP]', array([   4., 1296.,    5.]), 1.2025680562466334e-08]",4.-
820,"['[CLS] tiempo [SEP]', array([   4., 1577.,    5.]), 1.322431053552009e-11]","['[CLS] parte [SEP]', array([   4., 1565.,    5.]), 6.579645717152971e-10]","['[CLS] buen [SEP]', array([   4., 1594.,    5.]), 7.280837044376653e-10]","['[CLS] hasta [SEP]', array([   4., 1597.,    5.]), 1.0445052600616123e-09]","['[CLS] han [SEP]', array([   4., 1600.,    5.]), 1.4163615835727228e-09]","['[CLS] él [SEP]', array([   4., 1611.,    5.]), 3.24402715801142e-09]","['[CLS] era [SEP]', array([   4., 1538.,    5.]), 5.842920480780833e-09]","['[CLS] mejor [SEP]', array([   4., 1627.,    5.]), 7.1562104020372885e-09]","['[CLS] ir [SEP]', array([   4., 1628.,    5.]), 7.448333283477382e-09]","['[CLS] decir [SEP]', array([   4., 1631.,    5.]), 8.357464387209745e-09]",Unificación
821,"['[CLS] claro [SEP]', array([   4., 3459.,    5.]), 9.122702593344911e-12]","['[CLS] muerto [SEP]', array([   4., 3435.,    5.]), 1.4800960457250767e-10]","['[CLS] chica [SEP]', array([   4., 3404.,    5.]), 5.841779282533821e-10]","['[CLS] puerta [SEP]', array([   4., 3399.,    5.]), 6.825879861338535e-10]","['[CLS] papá [SEP]', array([   4., 3538.,    5.]), 6.868221547051689e-10]","['[CLS] espera [SEP]', array([   4., 3540.,    5.]), 7.252412004277176e-10]","['[CLS] mamá [SEP]', array([   4., 3552.,    5.]), 9.76641767458375e-10]","['[CLS] mierda [SEP]', array([   4., 3383.,    5.]), 1.0514720205634376e-09]","['[CLS] haces [SEP]', array([   4., 3380.,    5.]), 1.1299213786841733e-09]","['[CLS] ustedes [SEP]', array([   4., 3331.,    5.]), 2.8429658627260324e-09]",autoridades
822,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 3.3848268632397094e-09]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 4.56538074011803e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 4.065507896999776e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 4.0834570391723446e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 5.253749923994633e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.2164577284655707e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.502404292670235e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.580007186780975e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.6788081919359996e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.334263722898356e-07]",electorales
823,"['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 3.944955473400569e-12]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 5.908828981660008e-12]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 6.324594181705834e-10]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 6.877040437114346e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 7.114535094387975e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 7.378256061674193e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 8.77217182226886e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 9.234054110240919e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 9.828864311334229e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.3940440568571688e-07]",administrativas
824,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 9.880984919163893e-15]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 9.003942036400758e-11]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 7.252207356867046e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 7.276173663584018e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 8.813700991261442e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.8994012302163696e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.225201181678017e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.313221372813757e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.425061128048412e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.161527352719574e-07]",jurisdiccionales
825,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 6.667230989521045e-09]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 8.288545627621602e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 3.173998697203473e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 3.189860520169674e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 4.232761063871493e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.0009416135113867e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.2730631776823884e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.3470523491386786e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.4413302590620134e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.068683468443467e-07]",extinción
826,"['[CLS] debo [SEP]', array([4.000e+00, 4.667e+03, 5.000e+00]), 3.513744850636158e-12]","['[CLS] mira [SEP]', array([4.000e+00, 4.601e+03, 5.000e+00]), 1.4501022604918035e-10]","['[CLS] eh [SEP]', array([4.000e+00, 4.824e+03, 5.000e+00]), 1.118806269850836e-09]","['[CLS] cuidado [SEP]', array([4.000e+00, 4.499e+03, 5.000e+00]), 1.1800909138770521e-09]","['[CLS] vaya [SEP]', array([4.000e+00, 4.875e+03, 5.000e+00]), 1.8720763828028453e-09]","['[CLS] cariño [SEP]', array([4.00e+00, 4.38e+03, 5.00e+00]), 3.806225556957088e-09]","['[CLS] ves [SEP]', array([4.000e+00, 4.199e+03, 5.000e+00]), 1.1289811419068485e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 1.23394564566226e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 1.5175423362379092e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.5253910579104968e-08]",organismos
827,"['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 5.038920392053114e-10]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 5.182766438238673e-10]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 1.215997302850269e-09]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.3996025449714011e-09]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.213287997321345e-09]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.9967889281223847e-09]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 7.0880572522469265e-09]","['[CLS] vaya [SEP]', array([4.000e+00, 4.875e+03, 5.000e+00]), 1.0544571327208985e-08]","['[CLS] eh [SEP]', array([4.000e+00, 4.824e+03, 5.000e+00]), 1.265753235557554e-08]","['[CLS] debo [SEP]', array([4.000e+00, 4.667e+03, 5.000e+00]), 2.075898231090889e-08]",públicos
828,"['[CLS] ves [SEP]', array([4.000e+00, 4.199e+03, 5.000e+00]), 1.1304690517022209e-10]","['[CLS] somos [SEP]', array([4.000e+00, 4.107e+03, 5.000e+00]), 1.8284107561328256e-10]","['[CLS] cariño [SEP]', array([4.00e+00, 4.38e+03, 5.00e+00]), 3.046075502943779e-09]","['[CLS] cuidado [SEP]', array([4.000e+00, 4.499e+03, 5.000e+00]), 6.811766484204895e-09]","['[CLS] digo [SEP]', array([   4., 3860.,    5.]), 7.067089358159251e-09]","['[CLS] mira [SEP]', array([4.000e+00, 4.601e+03, 5.000e+00]), 1.099223501110913e-08]","['[CLS] necesito [SEP]', array([   4., 3752.,    5.]), 1.3883820981774875e-08]","['[CLS] debo [SEP]', array([4.000e+00, 4.667e+03, 5.000e+00]), 1.4104023060568238e-08]","['[CLS] chico [SEP]', array([   4., 3741.,    5.]), 1.4732596143041121e-08]","['[CLS] suerte [SEP]', array([   4., 3713.,    5.]), 1.7031492105523682e-08]",locales
829,"['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 7.500811083360759e-11]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.2813298200242684e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.313357533838655e-09]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 5.42523747038004e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 6.883752246000796e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 7.293585924106338e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 7.823249803529109e-08]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 8.7645948831927e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 9.329293448878673e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.1530067267617738e-07]",tribunales
830,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 3.3848268632397094e-09]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 4.56538074011803e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 4.065507896999776e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 4.0834570391723446e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 5.253749923994633e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.2164577284655707e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.502404292670235e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.580007186780975e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.6788081919359996e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.334263722898356e-07]",electorales
831,"['[CLS] ves [SEP]', array([4.000e+00, 4.199e+03, 5.000e+00]), 3.8669711877048485e-10]","['[CLS] cariño [SEP]', array([4.00e+00, 4.38e+03, 5.00e+00]), 6.197258262119476e-10]","['[CLS] somos [SEP]', array([4.000e+00, 4.107e+03, 5.000e+00]), 1.9200907530603217e-09]","['[CLS] cuidado [SEP]', array([4.000e+00, 4.499e+03, 5.000e+00]), 2.728647641170312e-09]","['[CLS] mira [SEP]', array([4.000e+00, 4.601e+03, 5.000e+00]), 5.55723933537422e-09]","['[CLS] debo [SEP]', array([4.000e+00, 4.667e+03, 5.000e+00]), 7.825771808356308e-09]","['[CLS] digo [SEP]', array([   4., 3860.,    5.]), 1.307888419788128e-08]","['[CLS] eh [SEP]', array([4.000e+00, 4.824e+03, 5.000e+00]), 1.4408994664094621e-08]","['[CLS] vaya [SEP]', array([4.000e+00, 4.875e+03, 5.000e+00]), 1.6862686580410013e-08]","['[CLS] necesito [SEP]', array([   4., 3752.,    5.]), 2.19414878488422e-08]",entidades
832,"['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 2.0993595750695704e-09]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 2.1402999372810427e-09]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 5.387313817273309e-09]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 4.57923803320881e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 4.989857016468591e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 9.921267385415433e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.1863071580631157e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.2399232551807415e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.3087013228663125e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.777622175014315e-07]",federativas.
833,"['[CLS] por [SEP]', array([   4., 1096.,    5.]), 5.703337802032138e-11]","['[CLS] al [SEP]', array([   4., 1091.,    5.]), 1.2950374106424078e-10]","['[CLS] las [SEP]', array([   4., 1089.,    5.]), 3.610551857491373e-10]","['[CLS] no [SEP]', array([   4., 1084.,    5.]), 1.4575740614475308e-09]","['[CLS] una [SEP]', array([   4., 1108.,    5.]), 2.7344274622365106e-09]","['[CLS] su [SEP]', array([   4., 1079.,    5.]), 3.310005269874239e-09]","['[CLS] para [SEP]', array([   4., 1110.,    5.]), 3.5586387170383205e-09]","['[CLS] si [SEP]', array([   4., 1112.,    5.]), 4.487716198653402e-09]","['[CLS] lo [SEP]', array([   4., 1114.,    5.]), 5.520515267143367e-09]","['[CLS] o [SEP]', array([   4., 1074.,    5.]), 5.939369329688304e-09]",1.-
834,"['[CLS] otro [SEP]', array([   4., 1925.,    5.]), 1.5084999915870867e-10]","['[CLS] hombre [SEP]', array([   4., 1900.,    5.]), 3.4840297313820656e-10]","['[CLS] tipo [SEP]', array([   4., 1932.,    5.]), 4.328029046263282e-10]","['[CLS] quiero [SEP]', array([   4., 1937.,    5.]), 7.210957386760697e-10]","['[CLS] tres [SEP]', array([   4., 1941.,    5.]), 1.0030031249996796e-09]","['[CLS] solo [SEP]', array([   4., 1942.,    5.]), 1.0805273342739952e-09]","['[CLS] después [SEP]', array([   4., 1888.,    5.]), 1.1432204072292507e-09]","['[CLS] menos [SEP]', array([   4., 1943.,    5.]), 1.1608529693063474e-09]","['[CLS] usted [SEP]', array([   4., 1945.,    5.]), 1.329872545419164e-09]","['[CLS] nombre [SEP]', array([   4., 1952.,    5.]), 2.008401778219593e-09]","11,000"
835,"['[CLS] unos [SEP]', array([   4., 2438.,    5.]), 5.796474411567942e-13]","['[CLS] mas [SEP]', array([   4., 2437.,    5.]), 2.3209212329788897e-12]","['[CLS] vas [SEP]', array([   4., 2432.,    5.]), 2.8549163033630975e-11]","['[CLS] dice [SEP]', array([   4., 2429.,    5.]), 5.840750105789994e-11]","['[CLS] quiere [SEP]', array([   4., 2453.,    5.]), 1.1224976503854123e-10]","['[CLS] hoy [SEP]', array([   4., 2456.,    5.]), 1.6510692812943262e-10]","['[CLS] quién [SEP]', array([   4., 2461.,    5.]), 2.753889338791282e-10]","['[CLS] cosa [SEP]', array([   4., 2467.,    5.]), 4.4391734732585064e-10]","['[CLS] hizo [SEP]', array([   4., 2472.,    5.]), 6.141229746958743e-10]","['[CLS] luego [SEP]', array([   4., 2475.,    5.]), 7.290863468512043e-10]",millones
836,"['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 2.445344371437841e-09]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 2.4895142614056454e-09]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 5.933617375220024e-09]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 4.425128230511888e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 4.82892820174996e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.0151366325317213e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.2114559244658096e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.265631103253284e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.3351089400703842e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.808377523282445e-07]",destina
