Palabra 	 Primeras alineaciones 	 Segundas alineaciones 
septiembre	[['septiembre', 2.220446049250313e-16], ['producción', 2.0670132272471164e-12], ['muchas', 1.1181944259419652e-11], ['real', 1.1282974554660541e-11], ['marco', 1.4595658015537083e-11]]	[['septiembre', 0], ['producción', 2.067124249549579e-12], ['muchas', 1.1182055281722114e-11], ['real', 1.1283085576963003e-11], ['marco', 1.4595769037839545e-11]]
🤣🤣🤣🤣🤣🤣🤣	[['🤣', 2.220446049250313e-16], ['vergüenza', 2.220446049250313e-16], ['😂', 2.220446049250313e-16], ['🤣🤣🤣', 2.220446049250313e-16], ['😂😂😂', 2.220446049250313e-16]]	[['🤣', 0], ['vergüenza', 0], ['😂', 0], ['🤣🤣🤣', 0], ['😂😂😂', 0]]
organizado	[['organizado', 0], ['secretario', 8.215650382226158e-14], ['empleado', 1.8407497748285095e-13], ['necesitar', 2.2737367544323206e-13], ['pelear', 2.7478019859472624e-13]]	[['organizado', 0], ['secretario', 8.215650382226158e-14], ['empleado', 1.8407497748285095e-13], ['necesitar', 2.2737367544323206e-13], ['pelear', 2.7478019859472624e-13]]
robaron	[['robaron', 2.220446049250313e-16], ['convicción', 7.66053886991358e-15], ['maletas', 2.3203661214665772e-14], ['gota', 3.008704396734174e-14], ['date', 4.2521541843143495e-14]]	[['robaron', 0], ['convicción', 7.66053886991358e-15], ['maletas', 2.298161660974074e-14], ['gota', 3.008704396734174e-14], ['date', 4.2299497238218464e-14]]
bastante	[['bastante', 0], ['estaban', 1.0769163338864018e-13], ['buscar', 4.3021142204224816e-13], ['tipos', 4.313216450668733e-13], ['joven', 9.676703882632864e-13]]	[['bastante', 0], ['estaban', 1.0758061108617767e-13], ['buscar', 4.3021142204224816e-13], ['tipos', 4.310996004619483e-13], ['joven', 9.674483436583614e-13]]
fuerza	[['fuerza', 0], ['riesgo', 9.103828801926284e-14], ['resultado', 3.645972412869014e-13], ['vivir', 1.4538370507466425e-12], ['Parece', 1.4598322550796183e-12]]	[['fuerza', 0], ['riesgo', 9.103828801926284e-14], ['resultado', 3.645972412869014e-13], ['vivir', 1.4538370507466425e-12], ['Parece', 1.4597212327771558e-12]]
alcaldía	[['alcaldía', 1.1102230246251565e-16], ['LOCA', 5.630260258016051e-08], ['Votaron', 1.2259377479839628e-06], ['Amlo', 2.037671030130639e-06], ['tienes?', 2.2813493907314353e-06]]	[['alcaldía', 0], ['LOCA', 5.6302602802205115e-08], ['Votaron', 1.2259377479839628e-06], ['Amlo', 2.037671030130639e-06], ['tienes?', 2.2813493907314353e-06]]
solución	[['solución', 0], ['carta', 3.810285420513537e-13], ['cambiar', 6.752376435770202e-13], ['muestra', 1.0589307208874743e-12], ['representantes', 1.517896919267514e-12]]	[['solución', 0], ['carta', 3.808064974464287e-13], ['cambiar', 6.752376435770202e-13], ['muestra', 1.0590417431899368e-12], ['representantes', 1.517896919267514e-12]]
huevos	[['huevos', 0], ['inteligencia', 3.1086244689504383e-15], ['zapatos', 1.2323475573339238e-14], ['tendencia', 1.1046719095020308e-13], ['tendremos', 1.504352198367087e-13]]	[['huevos', 0], ['inteligencia', 3.1086244689504383e-15], ['zapatos', 1.2323475573339238e-14], ['tendencia', 1.1046719095020308e-13], ['tendremos', 1.504352198367087e-13]]
audios	[['audios', 0], ['televisa', 2.183443004177832e-08], ['pacifique', 8.732700196301124e-08], ['ganitas', 3.208087531181292e-07], ['Ciro', 3.3043933955756444e-07]]	[['audios', 0], ['televisa', 2.183443004177832e-08], ['pacifique', 8.732700196301124e-08], ['ganitas', 3.208087531181292e-07], ['Ciro', 3.3043933955756444e-07]]
@abrahamendieta	[['@abrahamendieta', 0], ['@RedAMLOmx', 0.0009738836213868396], ['sísmicas', 0.0013462402554365038], ['@ferbelaunzaran', 0.0015399849206967353], ['@MarinadelPilar', 0.002265158685570978]]	[['@abrahamendieta', 0], ['@RedAMLOmx', 0.0009738836213869506], ['sísmicas', 0.0013462402554362818], ['@ferbelaunzaran', 0.0015399849206965133], ['@MarinadelPilar', 0.002265158685570978]]
siento	[['siento', 0], ['Oh', 4.831579580866219e-12], ['Ahora', 1.943956107197664e-11], ['días', 7.806300050816617e-11], ['16', 1.448829944905583e-10]]	[['siento', 0], ['Oh', 4.831579580866219e-12], ['Ahora', 1.943956107197664e-11], ['días', 7.806300050816617e-11], ['16', 1.4488321653516323e-10]]
esposo	[['esposo', 0], ['Información', 9.547918011776346e-15], ['apoyar', 3.907985046680551e-14], ['recuerda', 8.759659664292485e-14], ['tomado', 3.5005331966431186e-13]]	[['esposo', 0], ['Información', 9.658940314238862e-15], ['apoyar', 3.907985046680551e-14], ['recuerda', 8.781864124784988e-14], ['tomado', 3.5016434196677437e-13]]
Toda	[['Toda', 0], ['pruebas', 1.1289857937413217e-12], ['Mis', 2.528088849373944e-12], ['Buenos', 5.680012016284763e-12], ['semanas', 5.729194896275658e-12]]	[['Toda', 0], ['pruebas', 1.1289857937413217e-12], ['Mis', 2.528088849373944e-12], ['Buenos', 5.679900993982301e-12], ['semanas', 5.729194896275658e-12]]
ahorita	[['ahorita', 2.220446049250313e-16], ['cueste', 1.257858680547841e-07], ['Faltó', 1.497342846379368e-07], ['empatía', 1.509785199083069e-07], ['exijo', 2.3291573392203446e-07]]	[['ahorita', 0], ['cueste', 1.257858680547841e-07], ['Faltó', 1.497342846379368e-07], ['empatía', 1.509785199083069e-07], ['exijo', 2.3291573392203446e-07]]
causa	[['causa', 0], ['ambiente', 3.2673863614718357e-13], ['territorio', 6.638689598048586e-12], ['municipio', 8.118838934478845e-12], ['llama', 1.1679546219056647e-11]]	[['causa', 0], ['ambiente', 3.2662761384472105e-13], ['territorio', 6.638467553443661e-12], ['municipio', 8.118838934478845e-12], ['llama', 1.1679546219056647e-11]]
funciona	[['funciona', 0], ['fuentes', 1.6209256159527285e-14], ['Salud', 1.6209256159527285e-14], ['recibido', 6.517009154549669e-14], ['iniciativas', 1.4710455076283324e-13]]	[['funciona', 0], ['Salud', 1.63202784619898e-14], ['fuentes', 1.6431300764452317e-14], ['recibido', 6.539213615042172e-14], ['iniciativas', 1.4732659536775827e-13]]
niño	[['niño', 0], ['ustedes', 1.7463808177353712e-13], ['todavía', 1.7474910407599964e-13], ['Ese', 7.002176616310862e-13], ['cabo', 2.7908786393027185e-12]]	[['niño', 0], ['ustedes', 1.7463808177353712e-13], ['todavía', 1.7497114868092467e-13], ['Ese', 7.002176616310862e-13], ['cabo', 2.7908786393027185e-12]]
xq	[['xq', 0], ['rateros', 3.9716275213041996e-07], ['robe', 6.635879858940541e-07], ['cansa', 1.2452801608775488e-06], ['refinar', 2.0114512802038576e-06]]	[['xq', 0], ['rateros', 3.9716275213041996e-07], ['robe', 6.635879858940541e-07], ['cansa', 1.2452801608775488e-06], ['refinar', 2.0114512802038576e-06]]
significa	[['significa', 0], ['Además', 3.608224830031759e-13], ['cuatro', 3.242073276510382e-12], ['empresa', 1.2939982418913587e-11], ['zona', 1.760014356477768e-11]]	[['significa', 0], ['Además', 3.6071146070071336e-13], ['cuatro', 3.242073276510382e-12], ['empresa', 1.2939982418913587e-11], ['zona', 1.760003254247522e-11]]
mandar	[['mandar', 0], ['Foro', 3.785860513971784e-14], ['cantar', 8.515410598874951e-14], ['logra', 1.1612932837579137e-13], ['traído', 1.511013536514838e-13]]	[['mandar', 0], ['Foro', 3.785860513971784e-14], ['cantar', 8.493206138382448e-14], ['logra', 1.1590728377086634e-13], ['traído', 1.5087930904655877e-13]]
tragar	[['tragar', 0], [',por', 3.05137676126499e-07], ['"La', 3.83311043028467e-06], ['cuba', 5.147941375294174e-06], ['Peor', 6.27223207705363e-06]]	[['tragar', 0], [',por', 3.05137676126499e-07], ['"La', 3.83311043028467e-06], ['cuba', 5.147941375294174e-06], ['Peor', 6.27223207705363e-06]]
requiere	[['requiere', 2.220446049250313e-16], ['física', 9.325873406851315e-15], ['acá', 3.7192471324942744e-14], ['crimen', 2.332578574737454e-13], ['NO', 3.361755318564974e-13]]	[['requiere', 0], ['física', 9.325873406851315e-15], ['acá', 3.7192471324942744e-14], ['crimen', 2.334799020786704e-13], ['NO', 3.361755318564974e-13]]
Tal	[['Tal', 2.220446049250313e-16], ['trabajadores', 6.248335182590381e-13], ['clase', 6.263878304935133e-13], ['proyectos', 1.4052092822680606e-12], ['militar', 2.4967805600795145e-12]]	[['Tal', 0], ['trabajadores', 6.250555628639631e-13], ['clase', 6.263878304935133e-13], ['proyectos', 1.4052092822680606e-12], ['militar', 2.4967805600795145e-12]]
Fuera	[['Fuera', 2.220446049250313e-16], ['declaraciones', 7.438494264988549e-15], ['cuidar', 2.7111646261346323e-13], ['delito', 4.802824804528427e-13], ['California', 6.077360836798107e-13]]	[['Fuera', 0], ['declaraciones', 7.438494264988549e-15], ['cuidar', 2.7122748491592574e-13], ['delito', 4.803935027553052e-13], ['California', 6.077360836798107e-13]]
culpables	[['culpables', 0], ['frases', 4.141131881851834e-14], ['tuvieras', 6.328271240363392e-14], ['Caray', 9.703349235223868e-14], ['invito', 1.2068124277675452e-13]]	[['culpables', 0], ['frases', 4.141131881851834e-14], ['tuvieras', 6.328271240363392e-14], ['Caray', 9.703349235223868e-14], ['invito', 1.2068124277675452e-13]]
base	[['base', 0], ['encontrar', 1.8676171720244383e-12], ['razón', 1.685951378505024e-11], ['humanos', 2.9652058586293606e-11], ['Mira', 3.7499670035856525e-11]]	[['base', 0], ['encontrar', 1.8676171720244383e-12], ['razón', 1.6859291740445315e-11], ['humanos', 2.9652058586293606e-11], ['Mira', 3.74994479912516e-11]]
ciudad,	[['ciudad,', 0], ['caso.', 9.409519585723558e-08], ['col.', 2.134123949781852e-07], ['hombre,', 2.152584548387182e-07], ['países,', 1.1758074012213626e-06]]	[['ciudad,', 0], ['caso.', 9.409519585723558e-08], ['col.', 2.134123949781852e-07], ['hombre,', 2.152584548387182e-07], ['países,', 1.1758074012213626e-06]]
Asco	[['Asco', 2.220446049250313e-16], ['ah!', 1.1110427167171366e-07], ['qué,', 7.108210716699759e-07], ['ver.', 9.72329416093487e-07], ['tu,', 1.7886770314889944e-06]]	[['Asco', 0], ['ah!', 1.1110427167171366e-07], ['qué,', 7.108210716699759e-07], ['ver.', 9.72329416093487e-07], ['tu,', 1.788677031377972e-06]]
iguales	[['iguales', 2.220446049250313e-16], ['dedos', 1.887379141862766e-15], ['Aun', 6.816769371198461e-14], ['escuchado', 9.270362255620057e-14], ['dejo', 1.5298873279334657e-13]]	[['iguales', 0], ['dedos', 1.887379141862766e-15], ['Aun', 6.816769371198461e-14], ['escuchado', 9.259260025373806e-14], ['dejo', 1.5298873279334657e-13]]
eventos	[['eventos', 0], ['Pueden', 4.773959005888173e-15], ['suficientes', 1.9206858326015208e-14], ['subir', 2.334799020786704e-13], ['errores', 3.04867242562068e-13]]	[['eventos', 0], ['Pueden', 4.884981308350689e-15], ['suficientes', 1.9206858326015208e-14], ['subir', 2.3359092438113294e-13], ['errores', 3.04867242562068e-13]]
cuidar	[['cuidar', 2.220446049250313e-16], ['cartas', 6.80566714095221e-14], ['mover', 1.2079226507921703e-13], ['Fuera', 2.7111646261346323e-13], ['LOS', 2.7200464103316335e-13]]	[['cuidar', 0], ['cartas', 6.80566714095221e-14], ['mover', 1.2101430968414206e-13], ['Fuera', 2.7122748491592574e-13], ['LOS', 2.722266856380884e-13]]
humano	[['humano', 0], ['pena', 3.597122599785507e-14], ['mente', 3.597122599785507e-14], ['genial', 5.74429392941056e-13], ['promover', 5.760947274779937e-13]]	[['humano', 0], ['pena', 3.597122599785507e-14], ['mente', 3.597122599785507e-14], ['genial', 5.74429392941056e-13], ['promover', 5.763167720829188e-13]]
plátanos	[['plátanos', 0], ['promueven', 3.6637359812630166e-15], ['narrativa', 2.1094237467877974e-14], ['patrullas', 3.785860513971784e-14], ['retire', 4.418687638008123e-14]]	[['plátanos', 0], ['promueven', 3.6637359812630166e-15], ['narrativa', 2.1094237467877974e-14], ['patrullas', 3.785860513971784e-14], ['retire', 4.418687638008123e-14]]
informe	[['informe', 0], ['creo', 7.204348229095103e-12], ['cara', 1.272959515574712e-11], ['persona', 1.281919015383437e-11], ['aplicación', 1.987243702927799e-11]]	[['informe', 0], ['creo', 7.204459251397566e-12], ['cara', 1.272959515574712e-11], ['persona', 1.2819301176136833e-11], ['aplicación', 1.987243702927799e-11]]
dió	[['dió', 0], ['recurrir', 6.661338147750939e-16], ['comentario', 2.7755575615628914e-15], ['hacían', 5.873079800267078e-14], ['caras', 7.260858581048524e-14]]	[['dió', 0], ['recurrir', 6.661338147750939e-16], ['comentario', 2.7755575615628914e-15], ['hacían', 5.873079800267078e-14], ['caras', 7.260858581048524e-14]]
eso?	[['eso?', 2.220446049250313e-16], ['aquí?', 5.915050060867344e-08], ['Si,', 6.01604640548814e-08], ['pri,', 1.0184278820268844e-07], ['Sí,', 3.175489340367932e-07]]	[['eso?', 0], ['aquí?', 5.9150500386628835e-08], ['Si,', 6.01604638328368e-08], ['pri,', 1.0184278798064383e-07], ['Sí,', 3.175489338147486e-07]]
simple	[['simple', 0], ['norte', 1.3389289676979388e-13], ['cuales', 1.2079226507921703e-12], ['dio', 2.1490587087669155e-12], ['dado', 3.3405500587946335e-12]]	[['simple', 0], ['norte', 1.340039190722564e-13], ['cuales', 1.2079226507921703e-12], ['dio', 2.1488366641619905e-12], ['dado', 3.3407721033995585e-12]]
armas	[['armas', 2.220446049250313e-16], ['realidad', 1.91491267287347e-12], ['libre', 7.616463015835961e-12], ['diferentes', 7.674416657721395e-12], ['lista', 1.0360490243499498e-11]]	[['armas', 0], ['realidad', 1.91491267287347e-12], ['libre', 7.616574038138424e-12], ['diferentes', 7.674416657721395e-12], ['lista', 1.0360601265801961e-11]]
modo	[['modo', 0], ['demasiado', 9.531264666406969e-13], ['serio', 2.1430635044339397e-12], ['casos', 3.807620885254437e-12], ['tomar', 8.556044761576231e-12]]	[['modo', 0], ['demasiado', 9.531264666406969e-13], ['serio', 2.1432855490388647e-12], ['casos', 3.807620885254437e-12], ['tomar', 8.556266806181156e-12]]
recibir	[['recibir', 2.220446049250313e-16], ['sabemos', 1.4788170688007085e-13], ['aspectos', 3.325117958752344e-13], ['Seguro', 5.91859894427671e-13], ['pensando', 9.252598687226055e-13]]	[['recibir', 0], ['sabemos', 1.4788170688007085e-13], ['aspectos', 3.327338404801594e-13], ['Seguro', 5.919709167301335e-13], ['pensando', 9.252598687226055e-13]]
sorpresa	[['sorpresa', 1.1102230246251565e-16], ['legales', 2.1760371282653068e-14], ['transmisión', 8.681944052568724e-14], ['progreso', 1.3533618670180658e-13], ['rato', 1.9484414082171497e-13]]	[['sorpresa', 0], ['legales', 2.1760371282653068e-14], ['transmisión', 8.681944052568724e-14], ['progreso', 1.3533618670180658e-13], ['rato', 1.9473311851925246e-13]]
muerto	[['muerto', 0], ['principio', 1.545430450278218e-13], ['Estamos', 6.17061957086662e-13], ['sociedad', 6.183942247162122e-13], ['corazón', 3.849587315585268e-12]]	[['muerto', 0], ['principio', 1.5432100042289676e-13], ['Estamos', 6.16839912481737e-13], ['sociedad', 6.183942247162122e-13], ['corazón', 3.849365270980343e-12]]
suena	[['suena', 1.1102230246251565e-16], ['Maldita', 5.440092820663267e-15], ['che', 2.1538326677728037e-14], ['correr', 4.8405723873656825e-14], ['Asi', 8.604228440844963e-14]]	[['suena', 0], ['Maldita', 5.440092820663267e-15], ['che', 2.1538326677728037e-14], ['correr', 4.851674617611934e-14], ['Asi', 8.626432901337466e-14]]
Ella	[['Ella', 0], ['meses', 1.6182610806936282e-12], ['haya', 1.6229240173970538e-12], ['mediante', 3.65463215246109e-12], ['pasado', 1.0166534281097483e-11]]	[['Ella', 0], ['meses', 1.6182610806936282e-12], ['haya', 1.6231460620019789e-12], ['mediante', 3.65463215246109e-12], ['pasado', 1.0166534281097483e-11]]
éxito	[['éxito', 0], ['últimos', 3.510525203864745e-13], ['Les', 7.898126597183364e-13], ['gastos', 1.4030998585212728e-12], ['Ta', 2.1912471837026715e-12]]	[['éxito', 0], ['últimos', 3.510525203864745e-13], ['Les', 7.895906151134113e-13], ['gastos', 1.4029888362188103e-12], ['Ta', 2.1912471837026715e-12]]
toma	[['toma', 1.1102230246251565e-16], ['mejores', 6.128431095930864e-14], ['teléfono', 9.767742170652127e-13], ['entrada', 2.1957990981036346e-12], ['máximo', 2.2080115513745113e-12]]	[['toma', 0], ['mejores', 6.128431095930864e-14], ['teléfono', 9.767742170652127e-13], ['entrada', 2.1957990981036346e-12], ['máximo', 2.207900529072049e-12]]
hipócritas	[['hipócritas', 0], ['hipócritas,', 0], ['hipócritas.', 0], ['FAVOR', 7.424865602112529e-05], ['GRANDE', 0.0009271759680111735]]	[['hipócritas', 0], ['hipócritas,', 0], ['hipócritas.', 0], ['FAVOR', 7.424865602112529e-05], ['GRANDE', 0.0009271759680111735]]
amigas	[['amigas', 2.220446049250313e-16], ['Lady', 6.583622536027178e-14], ['simples', 7.926992395823618e-14], ['lástima', 9.470202400052585e-14], ['matando', 1.1146639167236572e-13]]	[['amigas', 0], ['Lady', 6.605826996519681e-14], ['simples', 7.949196856316121e-14], ['lástima', 9.447997939560082e-14], ['matando', 1.1146639167236572e-13]]
quede	[['quede', 2.220446049250313e-16], ['aprobada', 2.4424906541753444e-15], ['vayan', 2.6645352591003757e-15], ['ocupa', 1.021405182655144e-14], ['oh', 2.3203661214665772e-14]]	[['quede', 0], ['vayan', 2.4424906541753444e-15], ['aprobada', 2.4424906541753444e-15], ['ocupa', 1.0325074129013956e-14], ['oh', 2.3203661214665772e-14]]
ellos.	[['ellos.', 0], ['siempre,', 7.767610654685342e-08], ['tienes?', 8.149207419982929e-08], ['Amlo', 1.735355070753286e-07], ['afán', 7.908458340422087e-07]]	[['ellos.', 0], ['siempre,', 7.767610654685342e-08], ['tienes?', 8.149207419982929e-08], ['Amlo', 1.73535506853284e-07], ['afán', 7.90845833820164e-07]]
hacerse	[['hacerse', 0], ['celebración', 6.217248937900877e-15], ['probable', 6.217248937900877e-15], ['aeropuerto', 2.5202062658991053e-14], ['personaje', 5.67323965583455e-14]]	[['hacerse', 0], ['celebración', 6.328271240363392e-15], ['probable', 6.328271240363392e-15], ['aeropuerto', 2.531308496145357e-14], ['personaje', 5.67323965583455e-14]]
pensando	[['pensando', 0], ['Seguro', 3.708144902248023e-14], ['aspectos', 1.4810375148499588e-13], ['sabemos', 3.333999742949345e-13], ['recibir', 9.252598687226055e-13]]	[['pensando', 0], ['Seguro', 3.708144902248023e-14], ['aspectos', 1.4832579608992091e-13], ['sabemos', 3.333999742949345e-13], ['recibir', 9.252598687226055e-13]]
dama	[['dama', 0], ['presi', 1.7763568394002505e-15], ['Recuerda', 3.8968828164342995e-14], ['ricos', 7.649436639667329e-14], ['sabido', 1.262323578998803e-13]]	[['dama', 0], ['presi', 1.5543122344752192e-15], ['Recuerda', 3.8968828164342995e-14], ['ricos', 7.649436639667329e-14], ['sabido', 1.262323578998803e-13]]
celebrar	[['celebrar', 1.1102230246251565e-16], ['aves', 3.608224830031759e-14], ['prioridades', 1.0014211682118912e-13], ['habido', 2.5701663020072374e-13], ['tradición', 5.755396159656812e-13]]	[['celebrar', 0], ['aves', 3.608224830031759e-14], ['prioridades', 1.0014211682118912e-13], ['habido', 2.5701663020072374e-13], ['tradición', 5.756506382681437e-13]]
pedo	[['pedo', 0], ['arcas', 1.0817416684627545e-07], ['conservadora', 9.84426182015774e-07], ['Bocas', 1.29735628850991e-06], ['trabajes', 1.5028249418236328e-06]]	[['pedo', 0], ['arcas', 1.0817416684627545e-07], ['conservadora', 9.84426182015774e-07], ['Bocas', 1.29735628850991e-06], ['trabajes', 1.5028249418236328e-06]]
Soy	[['Soy', 0], ['diciembre', 5.374811706815308e-12], ['relación', 5.401457059406312e-12], ['grupo', 9.609979478852892e-12], ['quiere', 1.4905632284012427e-11]]	[['Soy', 0], ['diciembre', 5.374811706815308e-12], ['relación', 5.4012350148013866e-12], ['grupo', 9.609979478852892e-12], ['quiere', 1.4905854328617352e-11]]
AMLO.	[['AMLO.', 0], ['AMLO,', 1.1350570860990672e-07], ['AMLO?', 5.363064979113652e-06], ['AMLO!', 2.4674173032757096e-05], ['cínica,', 0.00012702198151848254]]	[['AMLO.', 0], ['AMLO,', 1.1350570849888442e-07], ['AMLO?', 5.363064979113652e-06], ['AMLO!', 2.4674173032646074e-05], ['cínica,', 0.00012702198151837152]]
Guanajuato	[['Guanajuato', 2.220446049250313e-16], ['Guanajuato,', 2.220446049250313e-16], ['clasismo.', 0.0009440871255185224], ['cinismo.', 0.0009444446084890812], ['cinismo,', 0.001041548540552495]]	[['Guanajuato', 0], ['Guanajuato,', 0], ['clasismo.', 0.0009440871255190775], ['cinismo.', 0.0009444446084895253], ['cinismo,', 0.001041548540553161]]
acto	[['acto', 2.220446049250313e-16], ['prisión', 1.6653345369377348e-14], ['darle', 6.694644838489694e-14], ['terminar', 1.5087930904655877e-13], ['gusto', 1.509903313490213e-13]]	[['acto', 0], ['prisión', 1.687538997430238e-14], ['darle', 6.705747068735946e-14], ['terminar', 1.5087930904655877e-13], ['gusto', 1.5121237595394632e-13]]
habían	[['habían', 2.220446049250313e-16], ['espera', 5.470068842328146e-13], ['papá', 2.190470027585434e-12], ['alto', 3.40527606113028e-12], ['obra', 1.1008194356065815e-11]]	[['habían', 0], ['espera', 5.470068842328146e-13], ['papá', 2.190470027585434e-12], ['alto', 3.40527606113028e-12], ['obra', 1.100841640067074e-11]]
faltan	[['república', 0], ['faltan', 2.220446049250313e-16], ['engaño', 2.220446049250313e-16], ['acento', 8.881784197001252e-15], ['prefiere', 1.4765966227514582e-14]]	[['faltan', 0], ['república', 2.220446049250313e-16], ['engaño', 4.440892098500626e-16], ['acento', 8.881784197001252e-15], ['prefiere', 1.4988010832439613e-14]]
difícil	[['difícil', 2.220446049250313e-16], ['autoridades', 1.4876988529977098e-13], ['superior', 1.3353762540191383e-12], ['acción', 3.7265746044568004e-12], ['hija', 5.3693716139946446e-12]]	[['difícil', 0], ['autoridades', 1.4876988529977098e-13], ['superior', 1.3351542094142133e-12], ['acción', 3.7265746044568004e-12], ['hija', 5.3693716139946446e-12]]
fondo	[['fondo', 2.220446049250313e-16], ['Trabajo', 4.696243394164412e-14], ['ciudadanos', 1.8740564655672642e-13], ['500', 4.226619054747971e-13], ['46', 7.519540545786185e-13]]	[['fondo', 0], ['Trabajo', 4.696243394164412e-14], ['ciudadanos', 1.8740564655672642e-13], ['500', 4.226619054747971e-13], ['46', 7.519540545786185e-13]]
Mucho	[['Mucho', 0], ['actriz', 6.705747068735946e-14], ['cierre', 3.2429614549300823e-13], ['bienestar', 3.256284131225584e-13], ['demostrado', 5.282441151166495e-13]]	[['Mucho', 0], ['actriz', 6.705747068735946e-14], ['cierre', 3.2440716779547074e-13], ['bienestar', 3.256284131225584e-13], ['demostrado', 5.282441151166495e-13]]
CORRUPTA	[['CORRUPTA', 0], ['CORRUPTOS', 0], ['CORRUPCIÓN', 0], ['CORRUPTO', 0], ['CORRUPCION', 0]]	[['CORRUPTA', 0], ['CORRUPTOS', 0], ['CORRUPCIÓN', 0], ['CORRUPTO', 0], ['CORRUPCION', 0]]
proponer	[['proponer', 0], ['apellido', 3.5416114485542494e-14], ['recurrir', 8.759659664292485e-14], ['dió', 1.0447198661722723e-13], ['comentario', 1.41886502547095e-13]]	[['proponer', 0], ['apellido', 3.519406988061746e-14], ['recurrir', 8.759659664292485e-14], ['dió', 1.042499420123022e-13], ['comentario', 1.4210854715202004e-13]]
Fox	[['Fox', 0], ['sacado', 4.218847493575595e-15], ['cuantas', 1.176836406102666e-14], ['fundamento', 8.071321389024888e-14], ['declarar', 1.0702549957386509e-13]]	[['Fox', 0], ['sacado', 4.218847493575595e-15], ['cuantas', 1.1879386363489175e-14], ['fundamento', 8.060219158778636e-14], ['declarar', 1.0702549957386509e-13]]
#VivaMéxico	[['#VivaMéxico', 0], ['#VivaMexico', 0], ['@AndreaChavezTre', 0.0003431975804506493], ['@guerrerochipres', 0.00044706584554410345], ['@terrazas_prieto', 0.000522264720348331]]	[['#VivaMéxico', 0], ['#VivaMexico', 0], ['@AndreaChavezTre', 0.00034319758045087134], ['@guerrerochipres', 0.00044706584554421447], ['@terrazas_prieto', 0.0005222647203485531]]
eras	[['eras', 1.1102230246251565e-16], ['adentro', 6.106226635438361e-15], ['inteligente', 2.4424906541753444e-14], ['Deberías', 2.970956813896919e-13], ['nuevamente', 7.325251516476783e-13]]	[['eras', 0], ['adentro', 6.106226635438361e-15], ['inteligente', 2.4424906541753444e-14], ['Deberías', 2.970956813896919e-13], ['nuevamente', 7.326361739501408e-13]]
costó	[['venden', 0], ['costó', 2.220446049250313e-16], ['exhibición', 4.884981308350689e-15], ['abrazo', 8.659739592076221e-15], ['cambie', 8.881784197001252e-15]]	[['costó', 0], ['venden', 2.220446049250313e-16], ['exhibición', 5.10702591327572e-15], ['abrazo', 8.881784197001252e-15], ['cambie', 8.881784197001252e-15]]
Esperemos	[['Esperemos', 0], ['bruta', 1.1102230246251565e-16], ['acabaron', 2.2537527399890678e-14], ['carecen', 2.8976820942716586e-14], ['terminará', 9.636735853746359e-14]]	[['Esperemos', 0], ['bruta', 1.1102230246251565e-16], ['acabaron', 2.2537527399890678e-14], ['carecen', 2.8976820942716586e-14], ['terminará', 9.636735853746359e-14]]
fueran	[['fueran', 0], ['Tus', 2.9976021664879227e-15], ['pieza', 2.9976021664879227e-15], ['capaces', 1.1657341758564144e-14], ['vete', 2.6201263381153694e-14]]	[['fueran', 0], ['Tus', 2.7755575615628914e-15], ['pieza', 2.7755575615628914e-15], ['capaces', 1.1435297153639112e-14], ['vete', 2.5979218776228663e-14]]
necesitas	[['necesitas', 2.220446049250313e-16], ['muertos', 7.30526750203353e-14], ['debajo', 7.30526750203353e-14], ['próximo', 2.928768338961163e-13], ['reserva', 6.593614543248805e-13]]	[['necesitas', 0], ['muertos', 7.30526750203353e-14], ['debajo', 7.316369732279782e-14], ['próximo', 2.929878561985788e-13], ['reserva', 6.595834989298055e-13]]
morir	[['morir', 0], ['varias', 4.363176486776865e-13], ['instituciones', 9.809930645587883e-13], ['comunidad', 9.842127113302013e-13], ['resto', 1.7507106875314093e-12]]	[['morir', 0], ['varias', 4.360956040727615e-13], ['instituciones', 9.811040868612508e-13], ['comunidad', 9.842127113302013e-13], ['resto', 1.7507106875314093e-12]]
@CarlosLoret	[['@CarlosLoret', 2.220446049250313e-16], ['@SEP_mx', 3.36870407124934e-08], ['@VanConstruyendo', 1.0374910757615652e-05], ['@molotovmx', 2.1208405219685922e-05], ['@AtypicalTeve', 2.1559078234756335e-05]]	[['@CarlosLoret', 0], ['@SEP_mx', 3.36870407124934e-08], ['@VanConstruyendo', 1.0374910757615652e-05], ['@molotovmx', 2.1208405219907966e-05], ['@AtypicalTeve', 2.155907823497838e-05]]
patética	[['patética', 2.220446049250313e-16], ['presidencia.', 2.917588182160813e-08], ['gesta', 3.1507289222076906e-08], ['mamen', 3.212020394105508e-08], ['patrón,', 3.8070026242564836e-08]]	[['patética', 0], ['presidencia.', 2.9175882043652734e-08], ['gesta', 3.1507289222076906e-08], ['mamen', 3.212020394105508e-08], ['patrón,', 3.8070026242564836e-08]]
ganan	[['ganan', 1.1102230246251565e-16], ['comprometidos', 4.440892098500626e-16], ['problemática', 2.220446049250313e-15], ['ud', 4.551914400963142e-15], ['disfraz', 1.0658141036401503e-14]]	[['ganan', 0], ['comprometidos', 4.440892098500626e-16], ['problemática', 2.220446049250313e-15], ['ud', 4.3298697960381105e-15], ['disfraz', 1.0658141036401503e-14]]
