palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
@ManuelBartlett,"['@ManuelBartlett', 0]","['@SantiagoCreelM', 5.376440649351721e-07]","['@FerCuevasMur', 2.666505580783962e-06]","['hdspm', 3.7609517615777577e-06]","['@MiguelTorrucoG', 9.271118688536362e-06]"
@A_Gurria,"['@A_Gurria', 0]","['@A_MontielR', 0]","['@M_OlgaSCordero', 7.386891458083245e-05]","['@TwitterSeguro', 0.00011026270489256085]","['@g_quadri', 0.00013772519084220836]"
escuela,"['escuela', 0]","['Más', 1.1080025785759062e-13]","['alma', 4.432010314303625e-13]","['palabra', 5.404787728480187e-12]","['chico', 7.055356299190407e-12]"
evitar,"['evitar', 0]","['interior', 7.738254481637341e-14]","['mundial', 4.941269615699184e-12]","['golpe', 4.980238443863527e-12]","['origen', 1.1227574425731746e-11]"
malo,"['malo', 0]","['movimiento', 4.3298697960381105e-14]","['dolor', 1.7352785874891197e-13]","['acuerdos', 3.893552147360424e-13]","['públicas', 6.918909889463976e-13]"
🤣🤣🤣🤣🤣🤣,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
delincuencia,"['delincuencia', 0]","['milagro', 6.661338147750939e-16]","['quedaron', 2.7755575615628914e-15]","['disfrute', 4.374278717023117e-14]","['vecino', 5.517808432387028e-14]"
recuerda,"['recuerda', 0]","['apoyar', 9.880984919163893e-15]","['Información', 3.885780586188048e-14]","['tomado', 8.748557434046234e-14]","['esposo', 8.781864124784988e-14]"
"es,","['es,', 0]","[':)', 1.1086371243251847e-07]","['porro', 1.4142859470211988e-06]","['se,', 1.7769486289065384e-06]","['si?', 2.6631955166722676e-06]"
viviendo,"['viviendo', 0]","['Necesitas', 2.1094237467877974e-15]","['urgente', 9.43689570931383e-15]","['consta', 2.1316282072803006e-14]","['visitar', 5.96189764223709e-14]"
entregar,"['entregar', 0]","['titular', 6.5503158452884236e-15]","['estúpido', 2.6756374893466273e-14]","['números', 1.0647038806155251e-13]","['estadísticas', 2.4014124022642136e-13]"
origen,"['origen', 0]","['río', 3.1386004906153175e-13]","['formas', 7.068789997788372e-13]","['golpe', 1.252442594079639e-12]","['Pon', 1.965538842796377e-12]"
@MiguelTorrucoG,"['@MiguelTorrucoG', 0]","['@FerCuevasMur', 1.993722874127357e-06]","['@ManuelBartlett', 9.271118688536362e-06]","['@CNDH', 1.4014365342984725e-05]","['@SantiagoCreelM', 1.4273037547862799e-05]"
metro?,"['metro?', 0]","['endeja', 2.1213314549406448e-08]","['noticia.', 4.6967949307585855e-08]","['venenosa', 5.555959958769563e-08]","['oposición,', 1.0301432984416437e-07]"
"trabajo,","['trabajo,', 0]","['decir.', 1.38697754614725e-07]","['mejor.', 1.6463951257872367e-07]","['sueña', 9.366659403653443e-07]","['ahora,', 1.8097535345873439e-06]"
democracia,"['democracia', 0]","['identidad', 3.008704396734174e-14]","['California', 6.7390537594747e-14]","['delito', 1.1968204205459188e-13]","['cambiado', 1.865174681370263e-13]"
tacos,"['tacos', 0]","['defiendo', 2.8366488047382177e-09]","['presidenta?', 9.817450852267484e-09]","['gastarse', 2.408376187368333e-08]","['ética,', 3.2829385765431596e-08]"
"dinero,","['dinero,', 0]","['poder,', 1.2697484952362004e-08]","['importante.', 4.273774589780288e-08]","['dentro.', 6.179977463105502e-08]","['morra', 3.6245152090774724e-07]"
padres,"['padres', 0]","['Entre', 1.6463497232166446e-12]","['podía', 5.012656956182582e-12]","['come', 5.0496273829025995e-12]","['transporte', 8.277600827000242e-12]"
loco,"['loco', 0]","['hayan', 4.805045250577678e-13]","['primeros', 8.569811527081583e-13]","['tío', 1.3397061238151764e-12]","['ido', 2.6117996654306808e-12]"
100,"['100', 0]","['nuestros', 9.668932321460488e-13]","['cabeza', 6.054823309398216e-12]","['dólares', 8.724687639016793e-12]","['fecha', 1.5530798869178852e-11]"
vil,"['vil', 0]","['invento', 3.774758283725532e-15]","['desperdicio', 5.662137425588298e-15]","['convicciones', 1.2434497875801753e-14]","['Ejemplo', 1.3655743202889425e-14]"
nomás,"['nomás', 0]","['escuela,', 1.4780077972620376e-07]","['Sueños', 1.7644484573420272e-07]","['respuesta.', 3.6678364978559586e-07]","['partido?', 4.430745902395117e-07]"
favor.,"['favor.', 0]","['vida,', 1.0382149973064969e-07]","['lugar.', 1.3951244015597553e-07]","['nada.', 1.4000248138579252e-07]","['antes?', 1.6576560546432972e-07]"
"respeto,","['respeto,', 0]","['campaña?', 2.895137252156843e-08]","['peor.', 4.700157796300175e-08]","['amo,', 2.2823764667112556e-07]","['intereses.', 2.5970321870794066e-07]"
propia,"['propia', 0]","['ta', 3.0265789874306392e-12]","['LA', 5.925815393936773e-12]","['sangre', 5.9713345379464045e-12]","['estudio', 7.803757640090225e-12]"
Asi,"['Asi', 0]","['correr', 5.440092820663267e-15]","['Maldita', 4.851674617611934e-14]","['suena', 8.626432901337466e-14]","['che', 1.9406698470447736e-13]"
barda,"['barda', 0]","['dinero?', 2.2842809865863956e-09]","['padre,', 1.7427880250053818e-08]","['puerca', 2.1316543197258397e-08]","['solicito', 6.145107535049377e-07]"
equipo,"['equipo', 0]","['datos', 5.326850072151501e-13]","['particular', 2.1290746943236627e-12]","['estamos', 2.597866366471635e-11]","['mientras', 3.390432379291042e-11]"
buscando,"['buscando', 0]","['menor', 4.04121180963557e-13]","['diferencia', 7.188694084447889e-13]","['lic', 1.1188827642172328e-12]","['Podría', 1.6106005418237146e-12]"
mexicana,"['mexicana', 0]","['Díaz', 3.3306690738754696e-16]","['pedazos', 6.106226635438361e-14]","['contestar', 9.592326932761353e-14]","['unido', 1.3811174426336947e-13]"
Tus,"['Tus', 0]","['fueran', 2.7755575615628914e-15]","['pieza', 1.1657341758564144e-14]","['capaces', 2.609024107869118e-14]","['vete', 4.629630012686903e-14]"
mando,"['mando', 0]","['Tres', 1.31117339208231e-13]","['intención', 5.248024237403115e-13]","['placer', 7.146505609512133e-13]","['plantas', 1.4503953593703045e-12]"
cinismo,"['cinismo', 0]","['clasismo', 8.295802667035446e-08]","['golosa', 3.4374235668988007e-07]","['herario', 4.130156151527231e-07]","['serviles', 6.03288092593246e-07]"
militares,"['militares', 0]","['máxima', 1.787459069646502e-14]","['extraño', 7.16093850883226e-14]","['mejora', 1.6076029396572267e-13]","['aceptar', 2.8543833963112775e-13]"
Cuál,"['Cuál', 0]","['ay', 8.067990719951013e-13]","['curso', 1.2602141552520152e-12]","['material', 1.8138823776325808e-12]","['llamar', 1.823430295644357e-12]"
L12,"['L12', 0]","['investidura', 1.6477931309433203e-06]","['kilómetros', 4.153571570020276e-06]","['deberás', 4.800214261968527e-06]","['Lopez', 9.766600968408312e-06]"
7,"['7', 0]","[';', 9.438028136798948e-11]","['k', 3.7292280374856546e-10]","['%', 3.790735503272913e-10]","['/', 8.564291498203147e-10]"
Esos,"['Esos', 0]","['Muchos', 5.88418203051333e-15]","['seres', 2.3869795029440866e-14]","['estudiar', 5.340172748447003e-14]","['estuviera', 1.4810375148499588e-13]"
ignorantes,"['ignorantes', 0]","['peso,', 8.117734329182724e-08]","['Perdón,', 8.124445716184425e-08]","['checar', 8.206803303600907e-08]","['tristemente', 1.6375489686470956e-07]"
chismes,"['chismes', 0]","['tostada', 9.521183075289485e-08]","['floreros', 1.1388522846988991e-07]","['educacion', 2.2410426703256547e-07]","['Triste', 3.662171103036016e-07]"
final,"['final', 0]","['ley', 2.258748743599881e-12]","['saber', 5.0782711369379285e-12]","['Dónde', 5.1028070657821445e-12]","['parece', 9.020784119684322e-12]"
Cual,"['Cual', 0]","['parecer', 6.161737786669619e-14]","['reglamento', 3.8558045645231687e-13]","['dura', 7.528422329983187e-13]","['órdenes', 7.561729020721941e-13]"
I,"['I', 0]","[':', 1.103273028491003e-11]","['como', 4.390698915557323e-11]","['U', 9.86242199019216e-11]","['En', 2.7303326266547856e-10]"
SUS,"['Saludos', 0]","['SUS', 0]","['atacan', 0]","['decepción', 4.440892098500626e-16]","['manta', 4.440892098500626e-16]"
USTED,"['USTED', 0]","['@wichanoticias', 0.0001753166826563568]","['@Karladz95', 0.00024588737881348077]","['@lajornadaonline', 0.0006201584795324511]","['calumnia', 0.0008804419038620503]"
trabajan,"['trabajan', 0]","['tendrás', 1.5587531265737198e-13]","['dejes', 3.184119634624949e-13]","['Esas', 3.8535841184739184e-13]","['meta', 5.353495424742505e-13]"
JAJAJAJA,"['JAJAJA', 0]","['JAJAJAJA', 0]","['JAJAJAJAJA', 0]","['JAJAJAJAJAJAJA', 0]","['JAJAJAJAJAJA', 0]"
tengas,"['tengas', 0]","['pude', 2.930988785010413e-14]","['división', 1.8263168755083825e-13]","['formar', 2.62234678416462e-13]","['privada', 3.568256801145253e-13]"
actual,"['actual', 0]","['régimen', 1.2423395645555502e-13]","['inicia', 4.973799150320701e-13]","['efecto', 1.1162182289581324e-12]","['Siempre', 1.1198819649393954e-12]"
debemos,"['debemos', 0]","['hiciste', 4.951594689828198e-14]","['suelo', 1.9828583219805296e-13]","['Buenas', 4.461986335968504e-13]","['vale', 3.188005415211137e-12]"
tambien,"['tambien', 0]","['decirles', 1.2656542480726785e-14]","['causado', 5.062616992290714e-14]","['fotografías', 1.3344880755994382e-13]","['robado', 3.1741276274033225e-13]"
puta,"['puta', 0]","['televisión', 8.507639037702575e-13]","['oído', 1.6594503549072215e-12]","['oro', 1.6687762283140728e-12]","['trabajando', 2.166600232555993e-12]"
eso.,"['eso.', 0]","['aquí.', 5.7342514292457736e-08]","['hacer,', 2.4999241532430716e-07]","['todo.', 5.1802770306697e-07]","['país!', 7.161017503420908e-07]"
👏,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
gorda,"['gorda', 0]","['pierden', 4.440892098500626e-15]","['logística', 6.106226635438361e-15]","['ordena', 1.787459069646502e-14]","['dato', 2.0627943797535409e-13]"
pones,"['pones', 0]","['preparando', 2.1094237467877974e-15]","['Poder', 8.548717289613705e-15]","['Ricardo', 1.3433698597964394e-14]","['proviene', 1.942890293094024e-14]"
gustaría,"['gustaría', 0]","['calle', 1.0513812043200232e-13]","['conseguir', 4.197753256107717e-13]","['empleo', 9.443557047461582e-13]","['Aunque', 3.771094547744269e-12]"
meter,"['meter', 0]","['división', 1.1723955140041653e-13]","['sucedió', 2.6434410216324977e-13]","['pude', 3.5860203695392556e-13]","['tengas', 5.924150059399835e-13]"
tonterías,"['tonterías', 0]","['habíamos', 5.551115123125783e-16]","['lleven', 8.215650382226158e-15]","['saldo', 8.215650382226158e-15]","['existía', 1.2989609388114332e-14]"
¡Viva,"['¡Viva', 0]","['Ojala', 3.340847466448693e-07]","['servil', 4.3273625283113404e-07]","['Lozano', 1.0325169641500764e-06]","['kenia', 1.992950494744683e-06]"
mañana,"['mañana', 0]","['compro', 4.767297667740422e-13]","['nacional', 1.1880385564211338e-11]","['razón', 3.8373970667748836e-11]","['igual', 4.807532150152838e-11]"
mms,"['mms', 0]","['bufón', 7.95937412423342e-07]","['Jesús', 9.93107397206927e-07]","['¿Cuánto', 2.301967657047932e-06]","['bloquea', 4.1985642835751236e-06]"
hambre,"['hambre', 0]","['detener', 1.509903313490213e-14]","['hermanos', 6.0285110237146e-14]","['líneas', 5.421219029244639e-13]","['planeta', 7.37632177560954e-13]"
programa,"['programa', 0]","['padre', 9.020562075079397e-13]","['será', 7.254397083045205e-11]","['derecho', 9.111478238565951e-11]","['ahí', 1.28619004335917e-10]"
seria,"['seria', 0]","['causar', 5.551115123125783e-15]","['permitan', 2.1871393585115584e-14]","['Deben', 2.1871393585115584e-14]","['deseos', 8.770761894538737e-14]"
solamente,"['solamente', 0]","['Perdón', 2.2926105458509483e-13]","['peso', 4.0756287233989497e-13]","['recordar', 9.163780845256042e-13]","['llevó', 9.204859097167173e-13]"
#Rebsamen,"['#Rebsamen', 0]","['#RebsamenNoSeOlvida', 0]","['#DesfileMilitar', 5.3388095436757155e-06]","['#DesfileCivicoMilitar2022', 5.3388095436757155e-06]","['#PRI', 1.895071412716387e-05]"
verdulera,"['verdulera', 0]","['sismo,', 1.2183864181669612e-05]","['HIPÓCRITA', 1.2405099787948792e-05]","['HIPÓCRITAS', 1.2405099787948792e-05]","['sismo.', 1.5622386659641663e-05]"
orden,"['orden', 0]","['seguridad', 8.191225475684405e-13]","['anti', 1.3070100557399655e-11]","['cualquier', 1.3162804179955856e-11]","['familia', 2.0404011813468514e-11]"
hombres,"['hombres', 0]","['misma', 4.445777079808977e-12]","['productos', 1.7742030067324777e-11]","['problemas', 3.1492364271912265e-11]","['Todo', 3.982669749547085e-11]"
🐀,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
lamentable,"['lamentable', 0]","['ideología', 2.6645352591003757e-15]","['bienvenido', 1.7541523789077473e-14]","['sr', 4.196643033083092e-14]","['aliado', 5.551115123125783e-14]"
sonaron,"['sonaron', 0]","['pagaste', 1.1448864079000032e-10]","['mexicanos!', 6.257776519191793e-10]","['asco.', 1.1889793594122011e-09]","['Chinga', 5.707589623149545e-09]"
Citlali,"['Citlali', 0]","['Citlalli', 0]","['PRI?', 0.00021345293601460202]","['PRI,', 0.0002175289164577654]","['PRD,', 0.0002180015461041851]"
robando,"['robando', 0]","['Nobel', 4.3298697960381105e-15]","['aceptan', 6.994405055138486e-15]","['mansión', 3.097522238704187e-14]","['estúpidos', 4.574118861455645e-14]"
llamar,"['llamar', 0]","['época', 5.084821452783217e-14]","['arma', 8.140155216551648e-13]","['Cuál', 1.823430295644357e-12]","['ay', 5.0562887210503504e-12]"
engañar,"['engañar', 0]","['asesores', 1.4432899320127035e-15]","['sabio', 5.88418203051333e-15]","['opinas', 2.2537527399890678e-14]","['gabinete', 9.070522111187529e-14]"
sirves,"['sirves', 0]","['Transformación', 2.9020719161110264e-09]","['compran', 2.0977248194054e-07]","['Lora', 1.0918531021530953e-06]","['basuras', 1.4042768465838407e-06]"
bruja,"['bruja', 0]","['quiénes', 1.6653345369377348e-15]","['crean', 3.530509218307998e-14]","['secuestro', 5.2735593669694936e-14]","['saco', 7.394085344003543e-14]"
pago,"['pago', 0]","['Tan', 2.369215934550084e-13]","['comercio', 5.316858064929875e-13]","['sentir', 5.331290964250002e-13]","['temporada', 2.8899105330992825e-12]"
concierto,"['concierto', 0]","['Historia', 7.771561172376096e-15]","['profunda', 9.592326932761353e-14]","['universidades', 1.2467804566540508e-13]","['gato', 1.5853984791647235e-13]"
olvida,"['olvida', 0]","['vendiendo', 2.8754776337791554e-14]","['agregar', 3.3306690738754696e-14]","['congreso', 4.363176486776865e-14]","['neta', 6.783462680459706e-14]"
opinión,"['opinión', 0]","['adelante', 2.5512925105886097e-13]","['banda', 5.736522368238184e-13]","['presupuesto', 5.752065490582936e-13]","['deberá', 1.0231815394945443e-12]"
tío,"['tío', 0]","['primeros', 5.362377208939506e-14]","['comida', 4.839462164341057e-13]","['loco', 1.3397061238151764e-12]","['podrán', 1.938782467902911e-12]"
tras,"['tras', 0]","['14', 1.0436096431476471e-12]","['Hay', 4.162448163924637e-12]","['tienes', 2.6186386392623717e-11]","['hablar', 3.774403012357652e-11]"
legislar,"['legislar', 0]","['bocas', 2.577117125146522e-06]","['reclamo', 2.661459126751531e-06]","['reclama', 2.67412309651327e-06]","['maridos', 3.7898914169165465e-06]"
olvidó,"['olvidó', 0]","['propaganda', 1.27675647831893e-14]","['hilo', 1.9984014443252818e-14]","['narco', 2.4202861936828413e-14]","['Creen', 2.4202861936828413e-14]"
buscar,"['buscar', 0]","['joven', 1.0724754417879012e-13]","['estaban', 1.0746958878371515e-13]","['bastante', 4.3021142204224816e-13]","['tipos', 1.722844089613318e-12]"
"corruptos,","['corruptos,', 0]","['corruptos.', 9.909812470620949e-08]","['corrupta,', 6.142175956957985e-06]","['corrupta.', 6.235896462758461e-06]","['arrastrada.', 1.0061398231786534e-05]"
#MorenaDestruyendoAMexico,"['#MorenaCuevaDeDelincuentes', 0]","['#MorenaDestruyendoAMexico', 0]","['#MorenaNarcoPartido', 0]","['#Morena', 0]","['#MorenaDestruyendoMexico', 0]"
estén,"['estén', 0]","['DEL', 2.353672812205332e-14]","['negro', 2.1171953079601735e-13]","['resolver', 3.764766276503906e-13]","['incluyendo', 3.7769787297747826e-13]"
tendrá,"['tendrá', 0]","['80', 6.439293542825908e-14]","['red', 2.5779378631796135e-13]","['entidades', 5.789813073420191e-13]","['médico', 5.806466418789569e-13]"
alto,"['alto', 0]","['obra', 2.1683765893953932e-12]","['mamá', 3.386069202804265e-12]","['habían', 3.40527606113028e-12]","['cuestiones', 6.629363724641735e-12]"
salga,"['salga', 0]","['aprobar', 1.6653345369377348e-15]","['refieres', 6.772360450213455e-15]","['estaciones', 1.532107773982716e-14]","['perfil', 2.7422508708241367e-14]"
"seguridad,","['seguridad,', 0]","['ruca', 6.18096022142467e-08]","['familia,', 2.1742433953253482e-07]","['pinche', 4.998158638080952e-07]","['presume', 5.01257507501407e-07]"
26,"['26', 0]","['Aquí', 3.47499806707674e-13]","['aunque', 3.4794389591752406e-13]","['según', 1.3892220707134584e-12]","['amor', 3.1235014574804154e-12]"
trabajadores,"['trabajadores', 0]","['proyectos', 1.5587531265737198e-13]","['militar', 6.232792060245629e-13]","['Tal', 6.250555628639631e-13]","['asistencia', 2.4911184226539262e-12]"
cultura,"['cultura', 0]","['privado', 2.361444373377708e-13]","['hicieron', 4.1955328100584666e-13]","['conoce', 1.283417816466681e-12]","['matrimonio', 2.134514787144326e-12]"
azteca,"['azteca', 0]","['pacificar', 4.627898575471079e-08]","['leen', 2.5333126352222735e-07]","['lees', 2.579554585491195e-07]","['traidora', 8.404310606335841e-07]"
mí,"['mí', 0]","['personas', 1.8058887718552796e-12]","['Cómo', 1.8098855747439302e-12]","['15', 1.6218804077539062e-11]","['otra', 2.8802515927850436e-11]"
valor,"['valor', 0]","['paz', 3.2107649872159527e-13]","['alguna', 3.2163161023390785e-13]","['demas', 1.2835288387691435e-12]","['encuentra', 1.287081552447944e-12]"
momia,"['momia', 0]","['Ah!', 9.765504638270528e-08]","['ya.', 4.98740911347717e-07]","['irle', 5.66805798629666e-07]","['contra.', 1.659405910903189e-06]"
vividora,"['vividora', 0]","['payasadas', 1.7101632665550426e-08]","['olvidemos', 8.315047861362501e-08]","['mamadas', 8.525847128293407e-08]","['mentiras?', 8.679336849226615e-08]"
SIN,"['SIN', 0]","['Ciudadanos', 4.440892098500626e-15]","['omisión', 2.020605904817785e-14]","['protegen', 7.782663402622347e-14]","['sinónimo', 8.149037000748649e-14]"
necesitan,"['necesitan', 0]","['fotos', 1.2212453270876722e-14]","['posibilidades', 1.9417800700693988e-13]","['situaciones', 4.3798298321462426e-13]","['pienso', 5.961897642237091e-13]"
"Rebsamen,","['Rebsamen', 0]","['Rebsamen?', 0]","['Rebsamen,', 0]","['Rebsamen.', 0]","['LADY', 5.09347866700649e-05]"
leyes,"['leyes', 0]","['actos', 2.808864252301646e-14]","['vio', 2.808864252301646e-14]","['ataque', 1.1235457009206584e-13]","['buenas', 2.525757381022231e-13]"
porquería,"['porquería', 0]","['contesta', 5.551115123125783e-16]","['evidencias', 1.199040866595169e-14]","['desigualdad', 2.0539125955565396e-14]","['sueldos', 4.39648317751562e-14]"
ratera,"['ratera', 0]","['chiquita', 1.717997490380263e-06]","['Vaca', 1.9667753602403693e-06]","['dejaras', 1.974072060595411e-06]","['¡Gracias', 1.9745260074754967e-06]"
ESO,"['ESO', 0]","['tentación', 4.440892098500626e-16]","['Muestra', 4.6629367034256575e-15]","['votaciones', 2.0650148258027912e-14]","['psicópata', 2.4868995751603507e-14]"
hará,"['hará', 0]","['exactamente', 1.5831780331154732e-13]","['eh', 1.5865087021893487e-13]","['1990', 1.4234169398719132e-12]","['asesina', 1.9365620218536606e-12]"
idiota,"['idiota', 0]","['global', 7.105427357601002e-14]","['realizado', 2.843281166065026e-13]","['mostrar', 4.4275694222051243e-13]","['altura', 4.4431125445498765e-13]"
hemos,"['hemos', 0]","['Pri', 2.4750201887968615e-12]","['gobierno', 9.960920976936904e-12]","['cerca', 1.356681433861695e-11]","['servicio', 2.2187029991016516e-11]"
dudo,"['dudo', 0]","['malditos', 1.3322676295501878e-15]","['doctora', 5.329070518200751e-15]","['recibo', 2.1538326677728037e-14]","['sentimos', 4.829470157119431e-14]"
cuántos,"['cuántos', 0]","['medias', 5.551115123125783e-16]","['pacto', 8.770761894538737e-15]","['intenciones', 8.881784197001252e-15]","['Carmen', 1.3877787807814457e-14]"
partido.,"['partido.', 0]","['México,', 1.90153237600299e-09]","['habla?', 6.049571177335622e-09]","['pobre.', 3.063258702251659e-08]","['enemiga', 7.625179188064379e-08]"
social,"['social', 0]","['Sabes', 4.213296378452469e-13]","['buena', 1.522970638490051e-11]","['Tienes', 2.0744850282028438e-11]","['2006', 3.388456182307209e-11]"
CDMX.,"['CDMX', 0]","['CDMX,', 0]","['CDMX.', 0]","['CDMX?', 0]","['tribuna,', 2.458716498876523e-05]"
hubo,"['hubo', 0]","['Todas', 1.5765166949677223e-14]","['explotación', 6.261657858885883e-14]","['pocos', 2.5079938126282286e-13]","['propósito', 3.929079284148429e-13]"
todos.,"['todos.', 0]","['así,', 3.486385713458162e-08]","['nada!', 1.2349304678860307e-07]","['favor!', 4.572052259010917e-07]","['años,', 7.057269509891384e-07]"
colonia,"['colonia', 0]","['semejante', 2.1094237467877974e-15]","['coherente', 4.9960036108132044e-15]","['muchísimo', 8.992806499463768e-15]","['Amo', 2.020605904817785e-14]"
fiesta,"['fiesta', 0]","['permite', 2.2670754162845697e-13]","['proteger', 5.113687251423471e-13]","['atrás', 9.094947017729282e-13]","['lleva', 2.0371482278846997e-12]"
adelante,"['adelante', 0]","['banda', 6.361577931102147e-14]","['opinión', 2.5512925105886097e-13]","['presupuesto', 1.5966117317134376e-12]","['deberá', 2.3001600624183993e-12]"
corcholata,"['corcholata', 0]","['corcholatas', 0]","['corcholata.', 0]","['twitt', 1.1695267843059298e-07]","['twittear', 1.1695267843059298e-07]"
papá,"['papá', 0]","['espera', 5.482281295599023e-13]","['habían', 2.190470027585434e-12]","['necesidad', 6.750044967418489e-12]","['Puede', 8.821721131369031e-12]"
México?,"['México?', 0]","['calle,', 3.8851698025421655e-07]","['bravo', 4.598887486384484e-07]","['secta', 4.901502409504488e-07]","['empleo,', 5.136734277932931e-07]"
empresas,"['empresas', 0]","['importa', 2.3839819007775986e-12]","['frente', 4.241273998673023e-12]","['cinco', 9.479306228854512e-12]","['común', 1.7010171049491873e-11]"
llegó,"['llegó', 0]","['sesión', 5.5067062021407764e-14]","['compañía', 5.5067062021407764e-14]","['estará', 4.952704912852823e-13]","['español', 3.5406122478320867e-12]"
UD,"['UD', 0]","['Uy', 3.360121070272726e-10]","['Julián', 8.100213899631115e-08]","['VA', 9.751752283460036e-08]","['Juárez', 5.850246762584277e-07]"
música,"['música', 0]","['Ud', 8.848477506262498e-14]","['México', 3.5504932327512506e-13]","['necesita', 2.222555472997101e-12]","['viene', 5.6983306961910785e-12]"
contratos,"['contratos', 0]","['cáncer', 8.881784197001252e-15]","['Donde', 7.893685705084863e-14]","['Cuidado', 1.3999912340523224e-13]","['premio', 2.1871393585115584e-13]"
Sólo,"['Sólo', 0]","['Ser', 8.352207814255053e-13]","['entonces', 3.3317792969000948e-12]","['cualquier', 2.987987635094669e-11]","['orden', 8.270650830866089e-11]"
NUNCA,"['NUNCA', 0]","['@SEMAR_mx', 0.0001490679315587773]","['@SEMARNAT_mx', 0.0001490679315587773]","['sonorenses', 0.0002599444399903339]","['ENTONCES', 0.0007334715854544482]"
eres.,"['eres.', 0]","['familia?', 5.994890917015994e-08]","['nosotros,', 6.584173617429911e-08]","['seguridad?', 7.581402450274055e-08]","['nivel.', 2.5560802574542407e-07]"
corazón,"['corazón', 0]","['Estamos', 1.3842260671026452e-12]","['muerto', 3.849365270980343e-12]","['esté', 5.507927447467864e-12]","['principio', 5.546452186422357e-12]"
@M_OlgaSCordero,"['@M_OlgaSCordero', 0]","['@g_quadri', 9.865969837652422e-06]","['@A_Gurria', 7.386891458083245e-05]","['@A_MontielR', 7.386891458083245e-05]","['@TwitterSeguro', 8.756297697365412e-05]"
Bravo,"['Bravo', 0]","['representar', 3.108624468950438e-14]","['caminando', 3.1308289294429414e-14]","['compró', 4.085620730620576e-14]","['federales', 5.184741524999481e-14]"
debate,"['debate', 0]","['permitir', 4.363176486776865e-14]","['43', 1.745270594710746e-13]","['quienes', 1.7463808177353712e-13]","['quieren', 3.934630399271555e-13]"
cash,"['cash', 0]","['Álvaro', 3.4560632911073697e-08]","['info', 3.7395631291570197e-07]","['4T', 6.028919561362756e-07]","['4t', 6.560429681723434e-07]"
¿Que,"['¿Que', 0]","['$10', 5.186146565527849e-07]","['Ésta', 5.3161523545508516e-06]","['hartos', 5.887564504702958e-06]","['¿Cómo', 6.848420616489825e-06]"
pendiente,"['pendiente', 0]","['disculpas', 8.881784197001252e-16]","['pasaron', 1.4876988529977098e-14]","['sucedido', 7.605027718682322e-14]","['indispensable', 9.370282327836321e-14]"
ineptitud,"['ineptitud', 0]","['ineptitud,', 0]","['ineptitud.', 0]","['secta.', 0.00020717755459787046]","['alito,', 0.00032291960377595075]"
faltó,"['faltó', 0]","['equivocó', 8.99062893799929e-07]","['está?', 1.7213135429239301e-06]","['ser.', 1.864988475208662e-06]","['tok', 1.8880873813298393e-06]"
política.,"['política.', 0]","['tenemos.', 4.828840149961877e-08]","['hizo?', 1.3354869776716072e-07]","['Tú,', 2.477599260197749e-07]","['bajo,', 3.4996579612034395e-07]"
renunciar,"['renunciar', 0]","['tranquila', 2.7755575615628914e-15]","['facultades', 3.419486915845482e-14]","['obviamente', 8.448797217397441e-14]","['fama', 1.780797731498751e-13]"
fuerzas,"['fuerzas', 0]","['ejercicio', 5.861977570020827e-14]","['temporada', 2.349231920106831e-13]","['área', 5.274669589994119e-13]","['cariño', 1.4637180356658064e-12]"
falsa,"['falsa', 0]","['conversión', 2.4646951146678475e-14]","['lujo', 6.872280522429719e-14]","['internas', 8.326672684688674e-14]","['puro', 9.880984919163893e-14]"
ahi,"['ahi', 0]","['voces', 8.881784197001252e-16]","['Apoyo', 3.6637359812630166e-15]","['Movimiento', 1.432187701766452e-14]","['martes', 1.4432899320127035e-14]"
cállate,"['cállate', 0]","['utilice', 4.9960036108132044e-15]","['Creen', 9.769962616701378e-15]","['castigar', 2.0095036745715333e-14]","['contempla', 2.886579864025407e-14]"
ala,"['ala', 0]","['cargas', 2.2093438190040615e-14]","['Libertad', 4.984901380566953e-14]","['guste', 4.984901380566953e-14]","['tirar', 8.848477506262498e-14]"
estaban,"['estaban', 0]","['buscar', 1.0746958878371515e-13]","['bastante', 1.0758061108617767e-13]","['joven', 4.297673328323981e-13]","['tipos', 9.696687897076117e-13]"
caballo,"['caballo', 0]","['LOS', 7.66053886991358e-15]","['regular', 7.66053886991358e-15]","['culo', 3.042011087472929e-14]","['mover', 6.827871601444713e-14]"
arreglar,"['arreglar', 0]","['responder', 9.992007221626409e-15]","['probar', 8.93729534823251e-14]","['fiscal', 1.582067810090848e-13]","['ganó', 4.860556401808935e-13]"
uso,"['uso', 0]","['Nunca', 5.3478332873169165e-12]","['Ley', 5.378253398191646e-12]","['sino', 8.409384300023248e-12]","['is', 1.6505685707102202e-11]"
baja,"['baja', 0]","['vaya', 1.525446435834965e-13]","['grado', 1.863065257623475e-12]","['actualmente', 2.4321655800463304e-12]","['ésta', 3.82849307811739e-12]"
