,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
956,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@AnahiGonzalezQR
957,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@GabyJimenezMX
958,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@mario_delgado
959,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@CitlaHM
960,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@JAlejandroPenaV
961,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@Hugo_Alday
962,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@TransformarQRoo
963,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@HumbertoAldana7
964,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@MisaelMMtz
965,"['hubiesen', array([4.0000e+00, 2.2962e+04, 5.0000e+00]), 3.5860203695392556e-14]","['sintiendo', array([4.0000e+00, 2.2998e+04, 5.0000e+00]), 2.4780177909633494e-13]","['tendrías', array([4.000e+00, 2.279e+04, 5.000e+00]), 1.687538997430238e-12]","['serías', array([4.0000e+00, 2.3388e+04, 5.0000e+00]), 1.4293344285931653e-11]","['mías', array([4.0000e+00, 2.2199e+04, 5.0000e+00]), 4.340472425923281e-11]","['estaríamos', array([4.0000e+00, 2.2111e+04, 5.0000e+00]), 5.4759419221284134e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 7.313682992560189e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 7.313682992560189e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 7.313682992560189e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 7.313682992560189e-11]",Trabajarán
966,"['sois', array([4.0000e+00, 1.4185e+04, 5.0000e+00]), 1.9984014443252818e-15]","['míos', array([4.0000e+00, 1.4239e+04, 5.0000e+00]), 1.5762946503627973e-12]","['habíamos', array([4.000e+00, 1.429e+04, 5.000e+00]), 5.713762796233368e-12]","['tuviste', array([4.0000e+00, 1.3969e+04, 5.0000e+00]), 2.3917423597197285e-11]","['tuviste', array([4.0000e+00, 1.3969e+04, 5.0000e+00]), 2.3917423597197285e-11]","['éramos', array([4.000e+00, 1.373e+04, 5.000e+00]), 1.1093603813350228e-10]","['estemos', array([4.0000e+00, 1.3704e+04, 5.0000e+00]), 1.245070713196128e-10]","['tenéis', array([4.0000e+00, 1.4844e+04, 5.0000e+00]), 2.0207779893866018e-10]","['vuestros', array([4.0000e+00, 1.3573e+04, 5.0000e+00]), 2.0583790227846066e-10]","['estuviste', array([4.000e+00, 1.349e+04, 5.000e+00]), 2.6894297899815456e-10]",Quintana
967,"['estos', array([   4., 2111.,    5.]), 6.656886153422192e-11]","['tienes', array([   4., 2126.,    5.]), 5.424959370614602e-10]","['otras', array([   4., 2074.,    5.]), 9.062449679575479e-10]","['quien', array([   4., 2141.,    5.]), 1.4601627684740492e-09]","['eres', array([   4., 2149.,    5.]), 2.1237834824106017e-09]","['nosotros', array([   4., 2164.,    5.]), 3.683092719697356e-09]","['estas', array([   4., 2170.,    5.]), 4.418731824884503e-09]","['fuera', array([   4., 2171.,    5.]), 4.5474265464306995e-09]","['fuera', array([   4., 2171.,    5.]), 4.5474265464306995e-09]","['tienen', array([   4., 2179.,    5.]), 5.6387164937277134e-09]",Roo.
968,"['e', array([   4., 1007.,    5.]), 0.5699866545268001]","['de', array([   4., 1008.,    5.]), 0.5699923494441481]","['a', array([   4., 1013.,    5.]), 0.5700206556365088]","['la', array([   4., 1030.,    5.]), 0.5701148441796258]","['en', array([   4., 1036.,    5.]), 0.5701473502886363]","['que', array([   4., 1038.,    5.]), 0.5701581022745256]","['el', array([   4., 1040.,    5.]), 0.5701688129687967]","['y', array([   4., 1042.,    5.]), 0.5701794826088518]","['un', array([   4., 1049.,    5.]), 0.5702165064321696]","['con', array([   4., 1051.,    5.]), 0.5702269942178023]",🚨💥Tal
969,"['siente', array([4.000e+00, 5.919e+03, 5.000e+00]), 1.5021317523178368e-13]","['mía', array([4.0e+00, 5.8e+03, 5.0e+00]), 2.5863045038931887e-10]","['hubo', array([4.000e+00, 6.084e+03, 5.000e+00]), 4.144456999810586e-10]","['tuve', array([4.000e+00, 6.318e+03, 5.000e+00]), 2.296398293744062e-09]","['tendrán', array([4.000e+00, 6.387e+03, 5.000e+00]), 3.098333589690583e-09]","['seas', array([4.000e+00, 6.403e+03, 5.000e+00]), 3.298673001417285e-09]","['estén', array([4.000e+00, 5.496e+03, 5.000e+00]), 3.5118964403224595e-09]","['tenían', array([4.000e+00, 5.434e+03, 5.000e+00]), 4.714290291474299e-09]","['tengan', array([4.000e+00, 5.426e+03, 5.000e+00]), 4.884495585777415e-09]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 4.9172615979031775e-09]",cuál
970,"['tuviéramos', array([4.000e+00, 2.868e+04, 5.000e+00]), 7.032485704883129e-12]","['habrás', array([4.0000e+00, 2.7977e+04, 5.0000e+00]), 4.380862339559144e-11]","['tuyas', array([4.000e+00, 2.711e+04, 5.000e+00]), 1.3910939067329764e-10]","['habríamos', array([4.0000e+00, 2.6968e+04, 5.0000e+00]), 1.6062684515816272e-10]","['fuéramos', array([4.0000e+00, 2.6164e+04, 5.0000e+00]), 3.1801727917724065e-10]","['fuesen', array([4.0000e+00, 2.4093e+04, 5.0000e+00]), 1.0698268937403554e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.1290700596688907e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.1290700596688907e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.1290700596688907e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.1290700596688907e-09]",trabajaron
971,"['hemos', array([   4., 2972.,    5.]), 1.0370238001655707e-10]","['sería', array([   4., 3026.,    5.]), 2.890990780102243e-10]","['sería', array([   4., 3026.,    5.]), 2.890990780102243e-10]","['sería', array([   4., 3026.,    5.]), 2.890990780102243e-10]","['algunas', array([   4., 2943.,    5.]), 6.348019887525425e-10]","['nuestros', array([   4., 3070.,    5.]), 1.4782206569918799e-09]","['esas', array([   4., 2899.,    5.]), 2.3566552043163824e-09]","['mío', array([   4., 2895.,    5.]), 2.5708273287960992e-09]","['sentido', array([   4., 3141.,    5.]), 5.153040549821242e-09]","['os', array([   4., 2821.,    5.]), 8.414193786165924e-09]",Cancún...😉
972,"['los', array([   4., 1065.,    5.]), 6.349709646968904e-11]","['del', array([   4., 1072.,    5.]), 3.9169167909136604e-10]","['se', array([   4., 1062.,    5.]), 3.991026398253439e-10]","['se', array([   4., 1062.,    5.]), 3.991026398253439e-10]","['o', array([   4., 1074.,    5.]), 7.648592870168613e-10]","['es', array([   4., 1058.,    5.]), 1.3028881307164397e-09]","['su', array([   4., 1079.,    5.]), 2.226966500096239e-09]","['con', array([   4., 1051.,    5.]), 4.1728022148745936e-09]","['no', array([   4., 1084.,    5.]), 4.42826397772933e-09]","['un', array([   4., 1049.,    5.]), 5.301359240483805e-09]",¿Verdad?
973,"['ha', array([   4., 1131.,    5.]), 7.905576193678598e-10]","['me', array([   4., 1129.,    5.]), 1.2396265125502737e-09]","['mi', array([   4., 1153.,    5.]), 2.329575421455843e-09]","['lo', array([   4., 1114.,    5.]), 7.957707603978292e-09]","['para', array([   4., 1110.,    5.]), 1.0785201842722358e-08]","['una', array([   4., 1108.,    5.]), 1.2368642998694668e-08]","['como', array([   4., 1184.,    5.]), 2.2824517942332534e-08]","['por', array([   4., 1096.,    5.]), 2.4321685887507272e-08]","['al', array([   4., 1091.,    5.]), 3.0585156629570065e-08]","['las', array([   4., 1089.,    5.]), 3.3309025648797785e-08]",¡Verdad!
974,"['y', array([   4., 1042.,    5.]), 1.5559498134365413e-10]","['un', array([   4., 1049.,    5.]), 2.72934230771682e-10]","['el', array([   4., 1040.,    5.]), 4.3387227144364715e-10]","['con', array([   4., 1051.,    5.]), 6.117667483707123e-10]","['que', array([   4., 1038.,    5.]), 8.53669468448004e-10]","['en', array([   4., 1036.,    5.]), 1.416621819849695e-09]","['es', array([   4., 1058.,    5.]), 2.834030010667732e-09]","['la', array([   4., 1030.,    5.]), 3.981037388633979e-09]","['se', array([   4., 1062.,    5.]), 4.809921572146436e-09]","['se', array([   4., 1062.,    5.]), 4.809921572146436e-09]",https://t.co/T6mLymMqR6
975,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@albertobatun_
976,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@GabyJimenezMX
977,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@Hugo_Alday
978,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@AnahiGonzalezQR
979,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@_BrendaEspinoza
980,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@TransformarQRoo
981,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@MaraLezama
982,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@msalinas21
983,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@mario_delgado
984,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@CitlaHM
985,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@JAlejandroPenaV
986,"['mía', array([4.0e+00, 5.8e+03, 5.0e+00]), 6.534772722943671e-13]","['siente', array([4.000e+00, 5.919e+03, 5.000e+00]), 2.7234492439021096e-10]","['hubo', array([4.000e+00, 6.084e+03, 5.000e+00]), 1.3874376092459784e-09]","['estén', array([4.000e+00, 5.496e+03, 5.000e+00]), 1.7952910269514177e-09]","['tenían', array([4.000e+00, 5.434e+03, 5.000e+00]), 2.6801646457741413e-09]","['tengan', array([4.000e+00, 5.426e+03, 5.000e+00]), 2.8088710246620963e-09]","['tuve', array([4.000e+00, 6.318e+03, 5.000e+00]), 4.200483183502968e-09]","['tendrán', array([4.000e+00, 6.387e+03, 5.000e+00]), 5.263946500910777e-09]","['estabas', array([4.000e+00, 5.295e+03, 5.000e+00]), 5.4233155744043415e-09]","['seas', array([4.000e+00, 6.403e+03, 5.000e+00]), 5.52412493526333e-09]",Muchas
987,"['seré', array([4.0000e+00, 1.0872e+04, 5.0000e+00]), 6.274203379064147e-12]","['seré', array([4.0000e+00, 1.0872e+04, 5.0000e+00]), 6.274203379064147e-12]","['estando', array([4.0000e+00, 1.0663e+04, 5.0000e+00]), 3.2011837625134376e-11]","['habías', array([4.0000e+00, 1.0603e+04, 5.0000e+00]), 6.497491433776759e-11]","['teníamos', array([4.0000e+00, 1.0595e+04, 5.0000e+00]), 7.027689541416748e-11]","['fué', array([4.0000e+00, 1.0564e+04, 5.0000e+00]), 9.287515201350516e-11]","['serás', array([4.0000e+00, 1.1154e+04, 5.0000e+00]), 1.6987955486769124e-10]","['habéis', array([4.0000e+00, 1.1163e+04, 5.0000e+00]), 1.7851775613308973e-10]","['hubieran', array([4.0000e+00, 1.0358e+04, 5.0000e+00]), 3.2982527820024643e-10]","['serían', array([4.0000e+00, 1.0253e+04, 5.0000e+00]), 5.124609625539733e-10]",felicidades.
988,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@albertobatun_
989,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@GabyJimenezMX
990,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@Hugo_Alday
991,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@AnahiGonzalezQR
992,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@_BrendaEspinoza
993,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@TransformarQRoo
994,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@MaraLezama
